Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Socha Na Tha,Holiday,No,No,rom__com,Yes,Yes,No,Abhay Deol,Imtiaz Ali,Sandesh Shandilya,110,50000000,52800000,1.056,2005,137,7.4,7475,Imtiaz Ali,Abhay Deol,Ayesha Takia,Ayesha Jhulka
Kites,Normal,No,No,thriller,No,No,No,Hrithik Roshan,Anurag Basu,Rajesh Roshan,1800,820000000,863320000,1.052829268,2010,123,6.1,12605,Anurag Basu,Hrithik Roshan,Kabir Bedi,B�rbara Mori
Milenge Milenge,Normal,No,No,love_story,No,No,No,Shahid Kapoor,Satish Kaushik,Himesh Reshammiya,775,120000000,126225000,1.051875,2010,109,4.1,1739,Satish Kaushik,Kareena Kapoor,Shahid Kapoor,Aarti Chhabria
Yamla Pagla Deewana 2,Normal,No,Yes,comedy,No,No,No,Sunny Deol,Sangeeth Sivan,Toshi - Sharib,2000,460000000,483500000,1.051086957,2013,154,3.4,1820,Sangeeth Sivan,Dharmendra,Sunny Deol,Bobby Deol
Ghost,Holiday,No,No,horror,No,Yes,No,Shiney Ahuja,Puja Jatinder Bedi,Toshi - Sharib,800,90000000,94400000,1.048888889,2019,130,5,1288,Vikram Bhatt,Sanaya Irani,Shivam Bhaargava,Vikram Bhatt
Bombay Talkies,Normal,No,No,drama,No,No,No,Rani Mukherjee,Karan Johar,Amit Trivedi,375,125000000,130900000,1.0472,2013,127,6.7,5124,Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap
Tevar,Normal,Yes,No,masala,No,Yes,Yes,Arjun Kapoor,Amit Ravindernath Sharma,Imraan Khan,2850,540000000,565125000,1.046527778,2015,157,4,3014,Amit Ravindernath Sharma,Arjun Kapoor,Sonakshi Sinha,Manoj Bajpayee
Shirin Farhad Ki Toh Nikal Padi,Normal,No,No,rom__com,No,Yes,No,Boman Irani,Bela Sehgal,Jeet Ganguly,650,190000000,198675000,1.045657895,2012,111,4.2,1023,Bela Segal,Freny Bhagat,Dinyar Contractor,Nauheed Cyrusi
Hawaa Hawaai,Holiday,No,No,drama,No,No,No,Saqib Saleem,Amol Gupte,Hitesh Sonik,625,110000000,113600000,1.032727273,2014,120,7.4,1686,Amole Gupte,Makrand Deshpande,Partho A. Gupte,Devraya Gole
Ek Ajnabee,Normal,Yes,No,action,No,No,No,Arjun Rampal,Apoorva Lakhia,Amar Mohile,325,120000000,123040000,1.025333333,2005,142,5.2,1601,Apoorva Lakhia,Amitabh Bachchan,Arjun Rampal,Perizaad Zorabian
The Attacks Of 26/11,Normal,No,No,thriller,No,No,No,Nana Patekar,Ram Gopal Verma,Amar Mohile,1250,230000000,235227500,1.022728261,2013,116,6.9,4752,Ram Gopal Varma,Nana Patekar,Atul Kulkarni,Sanjeev Jaiswal
Bewakoofiyaan,Holiday,No,No,rom__com,No,No,No,Ayushman Khurana,Nupur Asthana,Raghu Dixit,1100,220000000,222060000,1.009363636,2014,119,5.5,3938,Nupur Asthana,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor
Ramaiya Vastavaiya,Normal,Yes,No,love_story,Yes,No,No,Girish Taurani,Prabhu Deva,Sachin - Jigar,1400,380000000,383420000,1.009,2013,148,5.7,3531,Prabhu Deva,Shruti Haasan,Girish Taurani,Randhir Kapoor
Haraamkhor,Holiday,No,No,drama,No,Yes,No,Nawazuddin Siddiqui,Shlok Sharma,Jasleen Royal,225,22500000,22700000,1.008888889,2015,90,6.4,3764,Shlok Sharma,Nawazuddin Siddiqui,Shweta Tripathi,Trimala Adhikari
The Dirty Relation,Holiday,No,No,adult,Yes,No,Yes,Manoj Pandey,Kesar Matharu,Imran Wasim,50,5000000,5000000,1,2013,121,3.6,12,Kesar Matharu,Sanjay Chauhan,Jasleen Matharu,Kanwaljeet Matharu
Luv Shuv Tey Chicken Khurana,Holiday,No,No,comedy,No,Yes,No,Kunal Kapoor,Sameer Sharma,Amit Trivedi,450,110000000,109780000,0.998,2012,140,6.6,3690,Sameer Sharma,Kunal Kapoor,Huma Qureshi,Vinod Nagpal
Poorna,Normal,No,No,drama,Yes,No,No,Aditi Inamdar,Rahul Bose,Salim - Sulaiman,300,37500000,37100000,0.9893333333,2017,100,7.8,1343,Rahul Bose,Prashant Pandey,Aditi Inamdar,Rahul Bose
Jo Bole So Nihaal,Normal,No,No,comedy,No,No,No,Sunny Deol,Rahul Rawail,Anand Raj Anand,400,150000000,148162500,0.98775,2005,125,3.6,646,Rahul Rawail,Sunny Deol,Thomas Tevana,Gary Castro Churchwell
God Tussi Great Ho,Holiday,No,No,comedy,No,Yes,No,Salman Khan,Rumi Jaffery,Sajid - Wajid,775,210000000,206112500,0.9814880952,2008,152,3.6,3998,Rumi Jaffery,Amitabh Bachchan,Salman Khan,Priyanka Chopra Jonas
15 Park Avenue,Normal,No,No,drama,No,Yes,Yes,Shabana Azmi,Aparna Sen,Jyotishka Dasgupta,50,25000000,24500000,0.98,2005,116,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
Veer,Normal,No,No,action,No,No,No,Salman Khan,Anil Sharma,Sajid - Wajid,1600,630000000,611400000,0.9704761905,2010,169,4.5,7598,Anil Sharma,Salman Khan,Jackie Shroff,Mithun Chakraborty
Wajah Tum Ho,Normal,No,No,thriller,No,No,Yes,Sharman Joshi,Vishal Pandya,Gourav - Roshin,2000,140000000,135700000,0.9692857143,2016,136,4.4,1153,Vishal Pandya,Sharman Joshi,Sana Khaan,Gurmeet Choudhary
Himmatwala,Holiday,Yes,No,masala,No,No,No,Ajay Devgn,Sajid Khan,Sajid - Wajid,3150,680000000,657993750,0.9676378676,2013,150,1.7,8186,Sajid Khan,Ajay Devgn,Tamannaah Bhatia,Mahesh Manjrekar
Do Dooni Chaar,Normal,No,No,comedy,No,Yes,Yes,Rishi Kapoor,Habib Faisal,Meet Bros,325,60000000,57900000,0.965,2010,112,7.5,5232,Habib Faisal,Rishi Kapoor,Neetu Singh,Aditi Vasudev
Mickey Virus,Normal,No,No,comedy,Yes,Yes,No,Manish Paul,Saurabh Varma,Hanif Sheikh,1000,110000000,106000000,0.9636363636,2013,135,6,2639,Saurabh Varma,Kumar Neeraj,Manish Paul,Dean Alexandrou
Ek Hi Bhool,Holiday,No,No,drama,No,No,No,Monalisa,Sandeep Kumar,Dilip Sen - Sameer Sen,25,6500000,6253400,0.9620615385,1981,144,5.8,136,Rama Rao Tatineni,Jeetendra,Rekha,Nazneen
Gippi,Normal,No,No,drama,Yes,Yes,No,Riya Vij,Sonam Nair,Vishal - Shekhar,375,60000000,57500000,0.9583333333,2013,95,5.6,790,Sonam Nair,Acchui,Anjali,Faraz Ansari
Action Jackson,Normal,No,No,action,No,No,No,Ajay Devgn,Prabhu Deva,Himesh Reshammiya,3350,930000000,888717500,0.9556102151,2014,144,3.3,3461,Prabhu Deva,Prabhas,Ajay Devgn,Sonakshi Sinha
Mr Ya Miss,Normal,No,No,comedy,No,Yes,No,Antara Mali,Antara Mali,Nitin Raikwar,175,47500000,45350000,0.9547368421,2005,136,3.6,466,Antara Mali,Satchit Puranik,Antara Mali,Riteish Deshmukh
Udaan,Normal,No,No,drama,No,Yes,No,Ronit Roy,Vikramaditya Motwane,Amit Trivedi,225,45000000,42805000,0.9512222222,2010,134,8.1,43199,Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh
Mixed Doubles,Holiday,No,No,drama,No,No,Yes,Ranvir Shorey,Rajat Kapoor,Sagar Desai,50,20000000,19000000,0.95,2006,91,6.4,647,Rajat Kapoor,Konkona Sen Sharma,Ranvir Shorey,Koel Purie
Sulemani Keeda,Normal,No,No,rom__com,Yes,Yes,Yes,Naveen Kasturia,Amit Masurkar,Arfaaz Kagalwala,45,3500000,3325000,0.95,2014,89,7.1,2478,Amit Masurkar,Naveen Kasturia,Mayank Tewari,Aditi Vasudev
Simran,Normal,No,No,drama,No,No,No,Kangana Ranaut,Hansal Mehta,Sachin - Jigar,1550,280000000,263025000,0.939375,2017,124,5.1,3254,Hansal Mehta,Kangana Ranaut,Sohum Shah,Esha Tewari
Shaitan,Normal,No,No,thriller,No,Yes,No,Rajeev Khandelwal,Bejoy Nambiar,Ranjit Barot,575,120000000,112500000,0.9375,2011,121,7.2,8146,Bejoy Nambiar,Kalki Koechlin,Shiv Panditt,Gulshan Devaiah
Luv Ka The End,Holiday,No,No,drama,No,Yes,No,Shraddha Kapoor,Bumpy,Ram Sampath,450,85000000,79200000,0.9317647059,2011,106,4.8,1434,Bumpy,Shraddha Kapoor,Taha Shah Badussha,Errol Peter Marks
Aamir,Normal,No,No,thriller,Yes,Yes,Yes,Rajeev Khandelwal,Raj Kumar Gupta,Amit Trivedi,150,35000000,32600000,0.9314285714,2008,99,7.7,10862,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala
Do Knot Disturb,Holiday,No,No,comedy,No,No,No,Govinda,David Dhawan,Nadeem - Shravan,1000,300000000,278900000,0.9296666667,2009,126,3.6,1130,David Dhawan,Govinda,Sushmita Sen,Riteish Deshmukh
The Train,Normal,Yes,No,thriller,No,No,Yes,Emraan Hashmi,Raksha Mistry,Mithoon,325,77500000,71718750,0.9254032258,2011,133,4.4,133,Jayaraaj,Mammootty,Sheena Chohan,Sabitha Jayaraaj
Rog,Normal,No,No,suspense,No,No,No,Irrfan Khan,Himanshu Brahmbhatt,M.M. Kreem,160,35000000,32300000,0.9228571429,2005,115,5.2,484,Himanshu Brahmbhatt,Irrfan Khan,Ilene Hamann,Himanshu Malik
Bachke Rehna Re Baba,Normal,No,No,comedy,No,No,No,Mallika Sherawat,Govind Menon,Anu Malik,225,60000000,55192500,0.919875,2005,130,2.7,202,Govind Menon,Rekha,Mallika Sherawat,Paresh Rawal
Black & White,Normal,No,No,drama,No,No,No,Anil Kapoor,Subhash Ghai,Sukhwinder Singh,350,90000000,82715000,0.9190555556,2008,134,6.2,570,Subhash Ghai,Anil Kapoor,Anurag Sinha,Shefali Shah
Nehlle Pe Dehlla,Holiday,No,No,comedy,No,Yes,No,Sanjay Dutt,Ajay Chandhok,Anand Raj Anand,300,70000000,64100000,0.9157142857,2007,125,3.8,489,Ajay Chandhok,Sanjay Dutt,Bipasha Basu,Saif Ali Khan
Cash,Normal,No,No,thriller,No,No,No,Ajay Devgn,Anubhav Sinha,Vishal - Shekhar,1000,320000000,293005000,0.915640625,2007,137,3.4,1859,Anubhav Sinha,Ajay Devgn,Sunil Shetty,Zayed Khan
Action Replayy,Holiday,No,No,comedy,No,No,No,Akshay Kumar,Vipul Amrutlal Shah,Pritam,1500,510000000,462943750,0.9077328431,2010,129,4.2,5814,Vipul Amrutlal Shah,Akshay Kumar,Aishwarya Rai Bachchan,Aditya Roy Kapoor
Freaky Ali,Normal,Yes,No,comedy,No,No,No,Nawazuddin Siddiqui,Sohail Khan,Sajid - Wajid,1200,230000000,208775000,0.9077173913,2016,120,4.9,2642,Sohail Khan,Nawazuddin Siddiqui,Arbaaz Khan,Amy Jackson
Luck,Normal,No,No,thriller,No,No,No,Sanjay Dutt,Soham Shah,Salim - Sulaiman,1150,370000000,335800000,0.9075675676,2009,141,4.8,2513,Soham Shah,Mithun Chakraborty,Sanjay Dutt,Imran Khan
Ghayal Once Again,Normal,No,Yes,action,No,No,No,Sunny Deol,Sunny Deol,Shankar - Ehsaan - Loy,2300,500000000,453563750,0.9071275,2016,127,6.3,4960,Sunny Deol,Sunny Deol,Soha Ali Khan,Om Puri
Dhoondte Reh Jaoge,Holiday,No,No,comedy,No,Yes,No,Kunal Khemu,Umesh Shukla,Sajid - Wajid,625,100000000,90350000,0.9035,2009,131,5.6,751,Umesh Shukla,Paresh Rawal,Kunal Khemu,Sonu Sood
The Killer,Normal,No,No,thriller,No,Yes,No,Emraan Hashmi,Raksha Mistry,Sajid - Wajid,250,72500000,65379000,0.9017793103,2006,117,4.7,1069,Hasnain Hyderabadwala,Raksha Mistry,Irrfan Khan,Emraan Hashmi
Raavan,Normal,Yes,No,action,No,No,No,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,1350,550000000,495722500,0.9013136364,2010,130,5.4,4245,Mani Ratnam,Abhishek Bachchan,Aishwarya Rai Bachchan,Govinda
Sheesha,Holiday,No,No,thriller,No,No,No,Neha Dhupia,Ashu Trikha,Dilip Sen - Sameer Sen,200,45000000,40418750,0.8981944444,1986,113,7.2,53,Basu Chatterjee,Mithun Chakraborty,Moon Moon Sen,Vijayendra Ghatge
A Flying Jatt,Holiday,No,No,masala,No,No,No,Tiger Shroff,Remo D'Souza,Sachin - Jigar,2650,550000000,493368750,0.8970340909,2016,151,3,4145,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
Dolly Ki Doli,Holiday,No,No,comedy,No,Yes,No,Sonam Kapoor,Abhishek Dogra,Sajid - Wajid,1150,210000000,188337500,0.8968452381,2015,98,4.5,2880,Abhishek Dogra,Malaika Arora,Karan Ashar,Mohd. Zeeshan Ayyub
Ugly Aur Pagli,Normal,No,No,rom__com,No,Yes,No,Mallika Sherawat,Sachin Kamlakar Khot,Anu Malik,400,120000000,107516250,0.89596875,2008,117,3.7,710,Sachin Kamlakar Khot,Mallika Sherawat,Ranvir Shorey,Bharti Achrekar
Darinda,Normal,No,No,horror,No,No,No,Sapna,Kanti Shah,Sawan Kumar Sawan,1,2000000,1775000,0.8875,2005,76,5.2,8,Kanti Shah,Anil Nagrath,Sapna Sappu,Vinod Tripathi
Big Brother,Holiday,No,No,action,No,No,No,Sunny Deol,Guddu Dhanoa,Sandesh Shandilya,290,80000000,70900000,0.88625,2007,128,3.8,781,Guddu Dhanoa,Sunny Deol,Priyanka Chopra Jonas,Vikas Anand
Players,Normal,Yes,No,action,No,No,No,Abhishek Bachchan,Abbas - Mustan,Pritam,1900,550000000,485600000,0.8829090909,2012,163,4.1,4181,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vinod Khanna,Abhishek Bachchan
Saawariya,Holiday,No,No,love_story,Yes,No,Yes,Ranbir Kapoor,Sanjay Leela Bhansali,Sanjay Leela Bhansali,850,450000000,391330000,0.8696222222,2007,142,5.2,7445,Sanjay Leela Bhansali,Ranbir Kapoor,Sonam Kapoor,Salman Khan
The Xpose,Normal,No,No,thriller,No,No,No,Himesh Reshammiya,Anant Mahadevan,Himesh Reshammiya,1050,150000000,129600000,0.864,2014,113,3.3,1608,Ananth Narayan Mahadevan,Himesh Reshammiya,Yo Yo Honey Singh,Irrfan Khan
Dharam Sankat Mein,Normal,No,No,comedy,No,Yes,No,Paresh Rawal,Fuwad Khan,Sachin Gupta,1100,140000000,120916000,0.8636857143,2015,129,6.3,2118,Fuwad Khan,Naseeruddin Shah,Paresh Rawal,Annu Kapoor
Elaan,Holiday,No,No,action,No,No,No,Arjun Rampal,Vikram Bhatt,Anu Malik,375,150000000,129397500,0.86265,2005,159,4.4,698,Vikram Bhatt,Arjun Rampal,Ameesha Patel,John Abraham
Agyaat,Normal,No,No,horror,Yes,No,No,Nithiin,Ram Gopal Verma,Bappi - Tutal,700,85000000,73200000,0.8611764706,2009,130,2.9,620,Ram Gopal Varma,Nithiin,Priyanka Kothari,Rasika Dugal
Kurbaan,Normal,No,No,thriller,No,Yes,No,Saif Ali Khan,Renzil D'Silva,Salim - Sulaiman,1250,500000000,429865000,0.85973,2009,161,5.7,4842,Renzil D'Silva,Lewis Tan,Kareena Kapoor,Saif Ali Khan
Chakravyuh,Holiday,No,No,drama,No,No,No,Arjun Rampal,Prakash Jha,Salim - Sulaiman,1200,300000000,257700000,0.859,2012,152,6.8,3089,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee
Mastizaade,Normal,No,No,comedy,No,No,No,Tusshar Kapoor,Milap Zaveri,Meet Bros,1850,300000000,255960000,0.8532,2016,119,2.4,2622,Milap Zaveri,Tusshar Kapoor,Vir Das,Sunny Leone
Bhoot Returns,Normal,No,Yes,horror,No,No,No,J.D. Chakravarthi,Ram Gopal Verma,Sandeep Chowta,925,75000000,63920000,0.8522666667,2012,85,2.5,513,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma
Tango Charlie,Holiday,No,No,action,No,No,No,Ajay Devgn,Mani Shankar,Anu Malik,325,135000000,114856250,0.850787037,2005,142,6,1789,Mani Shankar,Ajay Devgn,Bobby Deol,Sanjay Dutt
Umrao Jaan,Holiday,Yes,No,drama,No,No,No,Aishwarya Rai,J.P. Dutta,Anu Malik,500,230000000,195250000,0.8489130435,2006,188,5.5,1858,J.P. Dutta,Aishwarya Rai Bachchan,Shabana Azmi,Sunil Shetty
Oye Lucky! Lucky Oye!,Normal,No,No,comedy,No,No,No,Abhay Deol,Dibakar Banerjee,Sneha Khanwalkar,400,120000000,100620000,0.8385,2008,125,7.7,16700,Dibakar Banerjee,Abhay Deol,Paresh Rawal,Neetu Chandra
Insan,Holiday,No,No,action,No,No,No,Ajay Devgn,K. Subhash,Himesh Reshammiya,350,125000000,104100000,0.8328,2005,141,4.6,1295,K. Subhash,Akshay Kumar,Ajay Devgn,Tusshar Kapoor
Raja Natwarlal,Holiday,No,No,thriller,No,No,Yes,Emraan Hashmi,Kunal Deshmukh,Yuvan Shankar Raja,1950,470000000,390095000,0.8299893617,2014,141,6.1,4038,Kunal Deshmukh,Emraan Hashmi,Humaima Malik,Paresh Rawal
Rocky Handsome,Holiday,No,No,thriller,No,No,Yes,John Abraham,Nishikant Kamat,Bombay Rockers,1900,430000000,355818750,0.8274854651,2016,119,6.8,7647,Nishikant Kamat,John Abraham,Nishikant Kamat,Sharad Kelkar
Aap Ki Khatir,Holiday,No,No,love_story,No,No,No,Akshaye Khanna,Dharmesh Darshan,Himesh Reshammiya,350,160000000,132380000,0.827375,2006,122,3.6,863,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
Fugly,Normal,No,No,drama,No,No,No,Jimmy Shergill,Kabir Sadanand,Honey Singh,950,180000000,148278750,0.8237708333,2014,134,4.7,1008,Kabir Sadanand,Jimmy Sheirgill,Mohit Marwah,Kiara Advani
Zid,Normal,No,No,thriller,No,No,No,Karanvir Sharma,Vivek Agnihotri,Toshi - Sharib,1200,100000000,81500000,0.815,2014,126,4.4,1105,Vivek Agnihotri,Mannara Chopra,Karanvir Sharma,Shraddha Das
Main Aur Charles,Holiday,No,No,drama,No,No,No,Randeep Hooda,Prawal Raman,Sanjeev - Darshan,900,100000000,81200000,0.812,2015,119,6.3,1588,Prawaal Raman,Adil Hussain,Alexx O'Nell,Anastasia Fullfina
Meri Pyaari Bindu,Normal,No,No,rom__com,No,Yes,No,Ayushman Khurana,Akshay Roy,Sachin - Jigar,750,220000000,177910000,0.8086818182,2017,117,6,4495,Akshay Roy,Ayushmann Khurrana,Parineeti Chopra,Aarnaa Sharma
Hattrick,Holiday,No,No,comedy,No,No,No,Kunal Kapoor,Milan Luthria,Pritam,400,90000000,72580000,0.8064444444,2007,110,4.2,460,Milan Luthria,Nana Patekar,Danny Denzongpa,Paresh Rawal
Mr. X,Normal,No,No,fantasy,No,No,No,Emraan Hashmi,Vikram Bhatt,Jeet Ganguly,2100,370000000,297362500,0.8036824324,2015,133,3.8,1833,Vikram Bhatt,Emraan Hashmi,Amyra Dastur,Tanmay Bhat
Blue,Holiday,No,No,action,No,Yes,No,Akshay Kumar,Anthony D'Souza,A.R. Rehman,1500,800000000,639212500,0.799015625,2009,119,3.7,4674,Anthony D'Souza,Akshay Kumar,Sanjay Dutt,Lara Dutta
Loins Of Punjab Presents,Normal,No,No,comedy,No,Yes,Yes,Shabana Azmi,Manish Acharya,Michael Cohen,70,25000000,19800000,0.792,2007,88,7,761,Manish Acharya,Shabana Azmi,Ajay Naidu,Ayesha Dharker
Shor In The City,Holiday,No,No,drama,No,No,No,Tusshar Kapoor,Krishna D.K,Sachin - Jigar,500,75000000,59200000,0.7893333333,2010,112,7.2,3502,Krishna D.K.,Raj Nidimoru,Sendhil Ramamurthy,Tusshar Kapoor
Mastram,Holiday,No,No,drama,Yes,Yes,No,Rahul Bagga,Akhilesh Jaiswal,Honey Singh,800,60000000,47100000,0.785,2013,98,4.8,514,Akhilesh Jaiswal,Dhwani Gautam,Rahul Bagga,Tara-Alisha Berry
Singh Saab The Great,Holiday,No,No,action,No,No,Yes,Sunny Deol,Anil Sharma,Sonu Nigam,2000,420000000,328987500,0.7833035714,2013,134,5.6,2200,Anil Sharma,Sunny Deol,Urvashi Rautela,Prakash Raj
Prince,Normal,No,No,thriller,No,Yes,No,Vivek Oberoi,Kookie V. Gulati,Sachin Gupta,1200,370000000,289425000,0.7822297297,2010,138,4.2,2001,Kookie Gulati,Vivek Oberoi,Isaiah,Aruna Shields
Bobby Jasoos,Normal,No,No,comedy,No,Yes,No,Vidya Balan,Samar Shaikh,Shantanu Moitra,1250,260000000,202457500,0.7786826923,2014,121,5.5,2189,Samar Iqbal,Vidya Balan,Ali Fazal,Mahima A
Dirty Politics,Holiday,No,No,drama,No,No,No,Mallika Sherawat,K.C. Bokadia,Aadesh Shrivastava,1150,110000000,84800000,0.7709090909,2015,130,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra
Shamitabh,Normal,No,No,drama,No,No,No,Amitabh Bachchan,R. Balki,Ilaiyaraja,1600,490000000,371275000,0.7577040816,2015,155,6.8,7099,R. Balki,Amitabh Bachchan,Dhanush,Akshara Haasan
Johnny Gaddaar,Normal,No,No,thriller,Yes,No,No,Neil Nitin Mukesh,Sriram Raghavan,Shankar - Ehsaan - Loy,300,75000000,56800000,0.7573333333,2007,135,7.8,11795,Sriram Raghavan,Dharmendra,Rimi Sen,Ashwini Kalsekar
Not A Love Story,Holiday,No,No,thriller,No,No,No,Mahie Gill,Ram Gopal Verma,Sandeep Chowta,525,75000000,56700000,0.756,2011,100,5,694,Ram Gopal Varma,Deepak Dobriyal,Mahie Gill,Zakir Hussain
Mohenjo Daro,Holiday,No,No,drama,No,No,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,2700,1380000000,1040750000,0.7541666667,2016,155,5.7,10903,Ashutosh Gowariker,Hrithik Roshan,Pooja Hegde,Kabir Bedi
Anthony Kaun Hai?,Normal,No,No,comedy,No,No,No,Arshad Warsi,Raj Kaushal,Himesh Reshammiya,300,130000000,97960000,0.7535384615,2006,127,5.2,617,Raj Kaushal,Sanjay Dutt,Arshad Warsi,Minissha Lamba
Saala Khadoos,Normal,No,No,drama,No,Yes,Yes,R. Madhavan,Sudha Kongara,Santhosh Narayanan,700,200000000,149500000,0.7475,2016,109,7.6,11638,Sudha Kongara,Madhavan,Nassar,Radha Ravi
Mujhse Fraaandship Karoge,Normal,No,No,rom__com,Yes,Yes,Yes,Saqib Saleem,Nupur Asthana,Raghu Dixit,500,90000000,67200000,0.7466666667,2011,106,6.9,3861,Nupur Asthana,Saqib Saleem,Saba Azad,Nishant Dahiya
Guzaarish,Holiday,No,No,drama,No,No,No,Hrithik Roshan,Sanjay Leela Bhansali,Sanjay Leela Bhansali,1300,740000000,548945000,0.7418175676,2010,126,7.5,17631,Sanjay Leela Bhansali,Hrithik Roshan,Aishwarya Rai Bachchan,Shernaz Patel
Shikhar,Holiday,No,No,drama,No,No,No,Ajay Devgn,John M. Matthan,Viju Shah,350,140000000,103450000,0.7389285714,2005,162,4.9,1061,John Mathew Matthan,Ajay Devgn,Shahid Kapoor,Bipasha Basu
Ramji Londonwaley,Normal,Yes,No,comedy,No,Yes,No,R. Madhavan,Sanjay Dayma,Vishal Bhardwaj,115,40000000,29525000,0.738125,2005,154,6.7,1058,Sanjay Dayma,Madhavan,Samita Bangargi,Harsh Chhaya
Daddy,Normal,No,No,drama,No,Yes,No,Arjun Rampal,Ashim Ahluwalia,Sajid - Wajid,1150,210000000,154790000,0.7370952381,2017,134,6.4,1886,Ashim Ahluwalia,Arjun Rampal,Aishwarya Rajesh,Nishikant Kamat
Gabbar Singh,Holiday,No,No,action,No,No,No,Sapna,Kanti Shah,Sawan Kumar Sawan,10,3000000,2200000,0.7333333333,2007,111,4.8,9,Kanti Shah,Amit Pachori,Shiva Rindani,Sapna Sappu
Darling,Normal,No,No,drama,No,No,No,Fardeen Khan,Ram Gopal Verma,Pritam,240,65000000,47482500,0.7305,2007,128,3.8,589,Ram Gopal Varma,Fardeen Khan,Esha Deol,Isha Koppikar
Halla Bol,Normal,No,No,drama,No,No,No,Ajay Devgn,Rajkumar Santoshi,Sukhwinder Singh,925,270000000,193900000,0.7181481481,2008,142,6.1,2211,Rajkumar Santoshi,Ajay Devgn,Vidya Balan,Pankaj Kapur
Raabta,Normal,No,No,love_story,No,Yes,No,Sushant Singh Rajput,Dinesh Vijan,Pritam,1800,470000000,336986250,0.7169920213,2017,147,5.1,6311,Dinesh Vijan,Deepika Padukone,Sushant Singh Rajput,Rajkummar Rao
Ek Chalis Ki Last Local,Normal,No,No,comedy,No,Yes,No,Abhay Deol,Sanjay Khanduri,Sandesh Shandilya,140,35000000,25000000,0.7142857143,2007,143,7.3,4874,Sanjay M. Khanduri,Abhay Deol,Neha Dhupia,Amit Mistry
Ek Vivaah... Aisa Bhi,Normal,No,No,love_story,No,Yes,No,Sonu Sood,Kaushik Ghatak,Ravindra Jain,100,35000000,24887500,0.7110714286,2008,132,5.2,448,Kaushik Ghatak,Isha Koppikar,Sonu Sood,Anand Abhyankar
Mere Jeevan Saathi,Normal,No,No,love_story,No,No,No,Akshay Kumar,Suneel Darshan,Nadeem - Shravan,250,110000000,78207500,0.7109772727,2006,129,3.5,902,Suneel Darshan,Akshay Kumar,Karisma Kapoor,Ameesha Patel
I Am Kalam,Normal,No,No,drama,Yes,Yes,Yes,Harsh Mayar,Nila Madhab Panda,Susmit Bose,150,20000000,14200000,0.71,2010,88,8,3895,Nila Madhab Panda,Nilamadhab Panda,Gulshan Grover,Harsh Mayar
Aksar 2,Normal,No,Yes,thriller,No,No,No,Zarine Khan,Anant Mahadevan,Mithoon,1300,90000000,63600000,0.7066666667,2017,127,3.6,417,Ananth Narayan Mahadevan,Zareen Khan,Gautam Rode,Lillete Dubey
My Friend Ganesha,Normal,No,No,drama,No,No,Yes,Ahsaas Channa,Rajiv S. Ruia,Nirmal - Shekhar,100,22500000,15900000,0.7066666667,2007,190,4.6,156,Rajiv S. Ruia,Ahsaas Channa,Upasna Singh,Kiran Janjani
Trapped,Normal,No,No,thriller,No,No,No,Rajkummar Rao,Vikramaditya Motwane,Alokananda Dasgupta,300,50000000,35300000,0.706,2016,105,7.6,11216,Vikramaditya Motwane,Rajkummar Rao,Geetanjali Thapa,Shiladitya Sen
Vaah! Life Ho Toh Aisi!,Holiday,No,No,comedy,No,No,No,Shahid Kapoor,Mahesh Manjrekar,Ajay - Atul,325,130000000,91723750,0.7055673077,2005,153,4.5,2293,Mahesh Manjrekar,Shahid Kapoor,Amrita Rao,Sanjay Dutt
Aagey Se Right,Normal,No,No,comedy,No,Yes,No,Shreyas Talpade,Indrajit Nattoji,Ram Sampath,375,60000000,42100000,0.7016666667,2009,117,5,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Gumnaam,Normal,No,No,drama,No,No,No,Tanya Oberoi,Dilip Gulati,Bappi Lahiri,3,3000000,2100000,0.7,1965,151,7,1456,Raja Nawathe,Nanda,Manoj Kumar,Pran
The Dirty MMS,Normal,No,No,adult,Yes,Yes,Yes,Gunj,Sudhir Pillai,Billu,2,2000000,1400000,0.7,2014,93,2.4,18,Sudhir Pillai,Rakesh,Sudhir,Gunj
